"id","favUsers_id","favService","favSchedule"
"4fa1a238-e0d6-440c-99a2-8f28a386574f","e575bd15-d5c9-4e23-9e81-c5b8b4632fac","Grooming, Boarding, CBC","Thursday, Tuesday, Wednesday"
"8f6ff073-85c2-48ef-94b5-e7496b119943","1986a1f0-8941-4e0d-9f26-a9327f7c3d90","Boarding, Home Service, Digital Xray, Lab Tests, Blood Chemistry, Confinement, CBC, Pet Supply, Vaccination, Surgery, Grooming, Deworming","Thursday, Friday, Saturday, Tuesday, Monday, Wednesday"
"7e347a19-02a4-479a-87e6-ee1be1fecc9b","d721b71f-99ce-4f91-ad26-bf417e7f370a","Grooming, Boarding, CBC, Confinement","Thursday, Tuesday, Wednesday, Monday, Friday, Saturday"
"04cef7c2-f994-42b3-8b3c-22e35c432206","86c2f82d-d021-4838-8743-a1870c5080a3","Confinement, Boarding, Grooming","Monday, Wednesday, Friday"
